标题,房屋类型,面积,方向,层数,建造时间,社区,区,地址,总价,每平方价格,每平方价格带单位,总价带单位,建筑年龄,价格差异
列里路 满五 大两房 商圈成熟 东南朝向 装修好 产权清晰,2室2厅1卫,89.0,东南,低层(共23层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,98.0,11012,11012元/m²,98.0万元,15.0,0.006799999999998363
小区历史新低 户型可改造 包满意 着急卖,3室2厅2卫,134.41,南,高层(共26层),2017.0,星联湾,郑东新区,郑东新区周边象辰路88号,98.0,7292,7292元/m²,98.0万元,8.0,0.011771999999993454
一梯一户大平层 出门就是地铁口 业主急售 看房方便,4室2厅2卫,182.93,南,低层(共27层),2020.0,佳润滨河佳园,郑东新区,郑东新区周边泰来路80号,150.0,8200,8200元/m²,150.0万元,5.0,0.002600000000001046
CBD众意路 奥园国际公寓 双气三房 诚心出售 看房随时,3室2厅2卫,168.0,东北,高层(共24层),2007.0,奥园国际公寓,郑东新区,CBD商务内环路14号,245.0,14584,14584元/m²,245.0万元,18.0,0.01120000000000232
急售南熙福邸三阳台朝南好户型带车位 随时看,3室2厅2卫,146.75,南,高层(共17层),2017.0,南熙福邸,郑东新区,郑东新区周边大有路23号,130.0,8859,8859元/m²,130.0万元,8.0,0.0058249999999873125
（带车位）北龙湖北 电梯现房 两居室 带一个车位 随时看房,2室2厅1卫,80.0,南,高层(共15层),2020.0,万林府2号院,郑东新区,"杨金片区杨金路,近东三环",90.0,11250,11250元/m²,90.0万元,5.0,0.0
商都路旁 边户 精装好房 产权清晰,3室2厅1卫,94.83,南,低层(共33层),2018.0,东润城(一期臻园),郑东新区,郑东新区周边原圃路39号,69.0,7277,7277元/m²,69.0万元,7.0,0.007790999999997439
郑东新区 熙地港旁，洋房社区 送车位业主诚心卖,5室2厅3卫,208.0,南,高层(共6层),2007.0,绿城百合公寓(风荷苑),郑东新区,绿城百合地润路5号,360.0,17308,17308元/m²,360.0万元,18.0,0.006399999999985084
上下3层 客厅挑空 中间位置 6室3厅,6室2厅3卫,283.0,南,高层(共10层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,500.0,17668,17668元/m²,500.0万元,18.0,0.004399999999975535
杨金 179平洋房 20 大阳台,4室2厅3卫,179.0,南,中层(共6层),2022.0,万林府3号院,郑东新区,"杨金片区永兴路,近马林路",265.0,14805,14805元/m²,265.0万元,3.0,0.009500000000002728
郑东新区房本 边户小高层 南北通透 送一个房间 送车位,3室2厅2卫,122.8,南北,高层(共20层),2017.0,智慧城云著,郑东新区,郑东新区周边凤栖街366号,80.0,6515,6515元/m²,80.0万元,8.0,0.004199999999997317
（可谈3个 送车位 中上楼层）业主诚心急售 融创美盛象湖壹号,3室2厅2卫,124.6,南北,中层(共33层),2018.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",103.0,8267,8267元/m²,103.0万元,7.0,0.0068199999999905
科技馆旁 伟业象湖湾 200平5房带车位 精装修 可砍价位,5室2厅2卫,200.79,南北,低层(共18层),2013.0,伟业象湖湾,郑东新区,郑东新区周边郑开大道,175.0,8716,8716元/m²,175.0万元,12.0,0.008563999999978478
8号线地铁口，省试验旁，旁边银泰商场，出门贾鲁河公园,3室2厅2卫,135.0,南,中层(共27层),2021.0,佳润滨河佳园,郑东新区,郑东新区周边泰来路80号,114.0,8445,8445元/m²,114.0万元,4.0,0.007499999999993179
朝南大三房，带车位储藏室，满两年，看房有钥匙,3室2厅2卫,114.13,南北,中层(共15层),2020.0,万林府2号院,郑东新区,"杨金片区杨金路,近东三环",129.0,11303,11303元/m²,129.0万元,5.0,0.001138999999994894
商圈成熟 刚需小三居 楼层好 南北通透 有电梯 双卫格局,3室2厅2卫,127.0,南北,中层(共34层),2018.0,东润城(一期臻园),郑东新区,郑东新区周边原圃路39号,99.0,7796,7796元/m²,99.0万元,7.0,0.00920000000000698
未来华庭精装修三房出售带车位,3室2厅2卫,139.42,南,高层(共31层),2018.0,未来华庭,郑东新区,龙子湖文苑南路,248.0,17788,17788元/m²,248.0万元,7.0,0.0002959999999916363
随时看房大百装修一梯两户精装修带电梯有车位,4室2厅2卫,172.71,南北,高层(共7层),2018.0,古德佳苑,郑东新区,农业东路金汇西街6号,419.0,24261,24261元/m²,419.0万元,7.0,0.011730999999997493
精装大六室 80平大露台 单价低 可直接入住 错过无,6室3厅3卫,259.0,南,高层(共7层),2006.0,民航花园,郑东新区,天赋路天赋路39号,430.0,16603,16603元/m²,430.0万元,19.0,0.017699999999990723
4室2厅 满二 郑地美景东望1期 137平 居家自住 保养好,4室2厅2卫,137.85,南,低层(共26层),2019.0,郑地美景东望1期,郑东新区,郑东新区周边明阳街39号,95.0,6892,6892元/m²,95.0万元,6.0,0.006219999999999004
龙翔嘉苑10号院 停车方便 正南朝向 双卫生间 有电梯,4室2厅2卫,150.0,南,中层(共20层),2018.0,龙翔嘉苑10号院,郑东新区,"杨金片区龙源东八街,近龙湖中环路",118.0,7867,7867元/m²,118.0万元,7.0,0.0049999999999954525
价格可谈 诚心卖 想近期卖掉 随时看房,3室2厅2卫,112.0,南,中层(共18层),2021.0,郑东新区云溪苑,郑东新区,郑东新区周边安定路6号,104.0,9286,9286元/m²,104.0万元,4.0,0.003200000000006753
东悦城一号院 商品房 高楼层视野无遮挡 次新小区 正南朝向,3室2厅1卫,88.14,南,高层(共34层),2022.0,东悦城一号院,郑东新区,"郑东新区周边前程路,近复兴路",62.0,7035,7035元/m²,62.0万元,3.0,0.006489999999999441
秀水苑266平方精装修一楼复式 家电家具全送 好房不等人,5室3厅3卫,266.0,南北,共5层,2013.0,秀水苑,郑东新区,鸿园片区鸿苑路45号,340.0,12782,12782元/m²,340.0万元,12.0,0.0011999999999829924
总价66万买 白沙东悦城精装小三房，全新一天未入住.价可谈,3室2厅1卫,89.55,南,中层(共27层),2022.0,东悦城一号院,郑东新区,"郑东新区周边前程路,近复兴路",66.0,7371,7371元/m²,66.0万元,3.0,0.0073049999999881265
新上好房 融创二期 大四房 中间楼层 可贷款可随时看房,4室2厅2卫,160.0,南北,高层(共26层),2019.0,融创美盛象湖壹号2期,郑东新区,郑东新区周边润泽路27号,145.0,9063,9063元/m²,145.0万元,6.0,0.008000000000009777
建业天筑 交通便捷 近地铁 商圈成熟 楼龄新 双卫生间,4室2厅2卫,234.13,南北,高层(共37层),2017.0,建业天筑,郑东新区,康平路康宁街58号,698.0,29813,29813元/m²,698.0万元,8.0,0.011768999999958396
紧邻好 ！紧邻地铁口！银泰城！发改委团购房！价低卖！,5室2厅3卫,206.04,南,中层(共17层),2021.0,蓝城守诚苑,郑东新区,"郑东新区周边郑汴物流通道,近凤栖街",260.0,12619,12619元/m²,260.0万元,4.0,0.001875999999981559
润城时光里 有电梯 临地铁 商圈成熟 满五 楼层好 小区新,2室2厅1卫,88.53,南北,中层(共25层),2015.0,润城时光里,郑东新区,通泰路永平路15号,88.0,9941,9941元/m²,88.0万元,10.0,0.007672999999996932
必看！绿地老街四期 豪装大复试 挑空大客厅 诚心出售,4室3厅2卫,259.02,南北,中层(共8层),2018.0,老街绿地郑东新苑四期,郑东新区,绿地老街天赋路30号,636.0,24555,24555元/m²,636.0万元,7.0,0.023609999999962383
地铁口佳润滨河家园改善五室带双车位无贷款急售卖看房方便,5室2厅4卫,243.0,南,低层(共27层),2021.0,佳润滨河佳园,郑东新区,郑东新区周边泰来路80号,199.0,8190,8190元/m²,199.0万元,4.0,0.016999999999995907
吉地澜花语精装修三房 送车位急售 价位可谈,3室2厅1卫,124.85,南北,低层(共26层),2017.0,吉地澜花语,郑东新区,"商都路郑开大道,近贺庄路",93.0,7449,7449元/m²,93.0万元,8.0,0.0007649999999870261
郑东新世界(一期) 高楼层视野无遮挡 电梯房 正规商品房,3室2厅1卫,89.0,南,高层(共18层),2009.0,郑东新世界(一期),郑东新区,商都路青年路,47.0,5281,5281元/m²,47.0万元,16.0,0.0009000000000014552
急急急 边户 大三房 南北通透 送车位送储藏室 价格能谈,3室2厅2卫,130.0,南北,低层(共16层),2019.0,翰林雅苑(B区),郑东新区,郑东新区周边瑞云路111号,77.0,5924,5924元/m²,77.0万元,6.0,0.012000000000000455
别墅破价了！200平花园！678 三个车位！满五！双层地下室,4室2厅3卫,262.96,南北,共4层,2016.0,鸿园玉兰苑(西苑别墅),郑东新区,鸿园片区东四环,678.0,25784,25784元/m²,678.0万元,9.0,0.016063999999914813
格林上东 高楼层视野好 停车方便 购物方便 房龄新 满二,3室2厅2卫,117.19,南北,高层(共27层),2021.0,格林上东,郑东新区,郑东新区周边通惠路26号,78.0,6656,6656元/m²,78.0万元,4.0,0.0016640000000052169
（上叠） 三层空间 带露台 有车位 小区带泳池会所随时看房,3室2厅4卫,217.18,南北,共5层,2023.0,鸿园银杏苑,郑东新区,鸿园片区鸿苑路,519.0,23898,23898元/m²,519.0万元,2.0,0.01676400000008016
星联湾大三房，龙华中 ，出门贾鲁河公园，价格可谈，随时看房,3室2厅2卫,135.0,南,中层(共27层),2017.0,星联湾,郑东新区,郑东新区周边象辰路88号,98.0,7260,7260元/m²,98.0万元,8.0,0.010000000000005116
买房送车位 小区自带公园 东润城(二期璟园) 精装三房急售,3室2厅2卫,118.15,南,中层(共33层),2019.0,东润城(二期璟园),郑东新区,郑东新区周边原圃路29号,92.0,7787,7787元/m²,92.0万元,6.0,0.0034050000000007685
北龙湖 绿城电梯7层洋房 259平 满五 业主急售,5室3厅1卫,259.0,南北,高层(共7层),2007.0,绿城百合公寓(春晓苑),郑东新区,绿城百合地润路3号,520.0,20078,20078元/m²,520.0万元,18.0,0.020200000000045293
业主急售！象湖 大三房 送车位 好户型 价格可谈,3室2厅2卫,136.0,南,高层(共26层),2017.0,吉地澜花语,郑东新区,"商都路郑开大道,近贺庄路",90.0,6618,6618元/m²,90.0万元,8.0,0.004800000000003024
未来国际 交通便利 楼层好 有电梯 正南朝向 近医院,1室1厅1卫,49.11,南,高层(共22层),2005.0,未来国际,郑东新区,CBD商务内环路25号,140.0,28508,28508元/m²,140.0万元,20.0,0.002787999999981139
南北通透 产权清晰 装修好 双卫生间 有电梯 满二 诚心出售,5室2厅3卫,273.97,南北,低层(共24层),2018.0,碧桂园翡翠湾(二期),郑东新区,郑东新区周边禄达东路108号,248.0,9053,9053元/m²,248.0万元,7.0,0.025041000000015856
温哥华山庄(北区)大平层六房 有车位 看房方便,6室2厅3卫,214.34,南,低层(共7层),2008.0,温哥华山庄(北区),郑东新区,农业东路农业东路9号,558.0,26034,26034元/m²,558.0万元,17.0,0.012756000000081258
大平层6室6卫，送120平方空中花园，可以住三代人,6室4厅6卫,348.18,南北,高层(共28层),2016.0,丹桂苑,郑东新区,新东站片康庄路,186.0,5343,5343元/m²,186.0万元,9.0,0.03257400000001098
海马壹号公馆 小区新 电梯房 停车方便 医疗配套成熟 满五,5室2厅2卫,237.0,南北,高层(共30层),2016.0,海马壹号公馆,郑东新区,新东站片康宁街86号,650.0,27427,27427元/m²,650.0万元,9.0,0.019900000000006912
东润城野孩子公园旁三房两卫 商业配套成熟 南北通透 双卫生间,3室2厅2卫,106.62,南北,低层(共33层),2019.0,东润城(二期璟园),郑东新区,郑东新区周边原圃路29号,73.0,6847,6847元/m²,73.0万元,6.0,0.0027139999999974407
（6层空间）联排 150平花园 带3个车位和露台 随时看房,4室2厅4卫,260.0,南北,共1层,2018.0,鸿园玉兰苑(西苑别墅),郑东新区,鸿园片区东四环,720.0,27693,27693元/m²,720.0万元,7.0,0.018000000000029104
联盟新城二期 豪华精装 楼层好 南向采光好 产权清晰 满五,5室2厅2卫,217.51,南,共5层,2007.0,联盟新城二期,郑东新区,农业东路地润路10号,630.0,28965,28965元/m²,630.0万元,18.0,0.017714999999952852
东三环！独栋别墅！上下六层！带车库！带300平花园！随时看房,7室3厅8卫,634.21,南北,共1层,2020.0,鸿园玉兰苑(东苑别墅),郑东新区,鸿园片区鸿苑路69号,1400.0,22075,22075元/m²,1400.0万元,5.0,0.018575000000055297
万科誉 精装 朝南 有电梯 带地暖 随时可看,1室1厅1卫,22.44,南,高层(共32层),2016.0,万科福晟万科誉,郑东新区,新东站片普惠路103号,23.0,10250,10250元/m²,23.0万元,9.0,0.0010000000000012221
真实拍摄 有视频 骨科医院地铁口 精装公寓 有地暖,1室1厅1卫,32.45,东,中层(共32层),2016.0,万科福晟万科誉,郑东新区,新东站片普惠路103号,39.5,12173,12173元/m²,39.5万元,9.0,0.0013850000000061868
联盟新城老式豪宅叠拼 3 4楼送5楼100平露台,5室3厅4卫,333.67,南北,共5层,2007.0,联盟新城二期,郑东新区,农业东路地润路10号,1000.0,29970,29970元/m²,1000.0万元,18.0,0.0089900000000398
龙子湖双地铁精装公寓现房 正商博雅广场,1室0厅1卫,48.15,南,中层(共30层),2018.0,博雅广场,郑东新区,"龙子湖平安大道,近明理路",39.0,8100,8100元/m²,39.0万元,7.0,0.0015000000000000568
新出郑东新区地铁口 润城精装婚房大两房 临河带车位！业主急售,2室2厅1卫,88.23,南北,中层(共26层),2018.0,润城时光里,郑东新区,通泰路永平路15号,90.0,10201,10201元/m²,90.0万元,7.0,0.0034230000000121663
新出郑东新区临河观景大两房 润城 南北通透 客厅临河带阳台,2室2厅1卫,89.58,南北,高层(共27层),2018.0,润城时光里,郑东新区,通泰路永平路15号,73.0,8150,8150元/m²,73.0万元,7.0,0.007699999999999818
对望CBD 去年交房次新小区 人车分流 单价1.1 不临路,3室2厅2卫,135.23,南北,低层(共39层),2023.0,中州府,郑东新区,"CBD中州大道,近福元路",150.0,11093,11093元/m²,150.0万元,2.0,0.010638999999997623
永威五月花城 ，急，急，满五，业主急售,3室2厅1卫,94.62,南,高层(共26层),2015.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",155.0,16382,16382元/m²,155.0万元,10.0,0.006484000000000378
永威五月花城 送车位.急，急，急，价格可大谈,3室2厅1卫,92.1,南北,高层(共26层),2015.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",153.0,16613,16613元/m²,153.0万元,10.0,0.005729999999971369
碧桂园天琴湾 东站次新楼盘 高楼层视野无遮挡 双卫 停车方便,3室2厅2卫,114.26,南,高层(共18层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,205.0,17942,17942元/m²,205.0万元,4.0,0.0052920000000256096
书香华府毛坯大三房中高层，不临高架，全天好采光看房随时联系,3室2厅2卫,138.0,南北,高层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,215.0,15580,15580元/m²,215.0万元,9.0,0.003999999999990678
正规商品房 中间好楼层 近地铁 房龄新 精装可拎包入住,4室2厅2卫,174.8,南,高层(共26层),2014.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",370.0,21168,21168元/m²,370.0万元,11.0,0.01664000000005217
永威五月花城 南北通透 满二 高楼层视野好 房龄新 带电梯,4室2厅1卫,174.33,南北,高层(共26层),2014.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",335.0,19217,19217元/m²,335.0万元,11.0,0.009961000000032527
正商东方港湾 精装修南向小三房 拎包即住,3室2厅1卫,86.73,南,低层(共26层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,149.0,17180,17180元/m²,149.0万元,15.0,0.002140000000025566
近地铁 楼龄新 电梯房 满二 正规商品房 朝南 动静分离,3室2厅1卫,94.66,南,中层(共26层),2015.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",165.0,17431,17431元/m²,165.0万元,10.0,0.0018460000000004584
龙子湖 交通便利 刚需小三居 满五 楼龄新 装修好 临地铁,3室2厅1卫,97.51,南,高层(共26层),2014.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",168.5,17281,17281元/m²,168.5万元,11.0,0.007031000000012
正商东方港湾 临地铁 电梯房 正南朝向 近医院 商业配套成熟,2室2厅1卫,86.0,南,高层(共26层),2011.0,正商东方港湾,郑东新区,新东站片康平路9号,108.0,12559,12559元/m²,108.0万元,14.0,0.00740000000000407
龙之梦东苑 120平 楼层不错 方正三房 随时看,3室2厅2卫,120.0,南,低层(共19层),2017.0,普罗旺世龙之梦东苑,郑东新区,"北龙湖龙湖中环东路,近夏令街",280.0,23334,23334元/m²,280.0万元,8.0,0.007999999999981355
急，急永威五月花城 128平三室 边户 价格可大谈,3室2厅2卫,127.94,南,低层(共26层),2015.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",240.0,18759,18759元/m²,240.0万元,10.0,0.002645999999998594
